cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
E059_Foreskin_Melano_1	ATAC	NOT_FOUND			0						false			
E059_Foreskin_Melano_1	HiC	NOT_FOUND			0						false			
E061_Foreskin_Melano_3	DNase	ENCFF768NBD	https://www.encodeproject.org/files/ENCFF768NBD/@@download/ENCFF768NBD.bam	bam	23039074924	1	ENCSR434OBM	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:45:19.239150+00:00	true	data/E061_Foreskin_Melano_3/DNase/ENCFF768NBD.bam	unfiltered alignments	GRCh38
E061_Foreskin_Melano_3	H3K27ac	NOT_FOUND			0						false			
E061_Foreskin_Melano_3	ATAC	NOT_FOUND			0						false			
E061_Foreskin_Melano_3	HiC	NOT_FOUND			0						false			
E062_PBMC	DNase	NO_MAPPING			0						false			
E062_PBMC	H3K27ac	NO_MAPPING			0						false			
E062_PBMC	ATAC	NO_MAPPING			0						false			
E062_PBMC	HiC	NO_MAPPING			0						false			
E065_Aorta	DNase	ENCFF397WGK	https://www.encodeproject.org/files/ENCFF397WGK/@@download/ENCFF397WGK.bam	bam	18222442635	1	ENCSR595DQM	ENCODE4	dnase-alignment-step-v-1-0	2020-09-25T14:32:08.641652+00:00	true	data/E065_Aorta/DNase/ENCFF397WGK.bam	unfiltered alignments	GRCh38
E065_Aorta	H3K27ac	ENCFF233YWT	https://www.encodeproject.org/files/ENCFF233YWT/@@download/ENCFF233YWT.bam	bam	1260468636	1	ENCSR322TJD	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T18:52:30.398016+00:00	true	data/E065_Aorta/H3K27ac/ENCFF233YWT.bam	unfiltered alignments	GRCh38
E065_Aorta	ATAC	ENCFF203BTV	https://www.encodeproject.org/files/ENCFF203BTV/@@download/ENCFF203BTV.bam	bam	33816120205	1	ENCSR295TFY	ENCODE4	atac-seq-alignment-step-v-2-1	2021-02-25T17:19:25.995394+00:00	true	data/E065_Aorta/ATAC/ENCFF203BTV.bam	unfiltered alignments	GRCh38
E065_Aorta	HiC	ENCFF592DEU	https://www.encodeproject.org/files/ENCFF592DEU/@@download/ENCFF592DEU.hic	hic	6518490975	1	ENCSR797MWY	ENCODE4	hic-diploidification-step-v-1-1	2023-01-31T00:12:56.190235+00:00	true	data/E065_Aorta/HiC/ENCFF592DEU.hic	haplotype-specific contact matrix	GRCh38
E066_Adult_Liver	DNase	ENCFF623XDR	https://www.encodeproject.org/files/ENCFF623XDR/@@download/ENCFF623XDR.bam	bam	21314605359	2	ENCSR158YXM	ENCODE4	dnase-alignment-step-v-1-0	2020-11-06T21:41:38.400768+00:00	true	data/E066_Adult_Liver/DNase/ENCFF623XDR.bam	unfiltered alignments	GRCh38
E066_Adult_Liver	H3K27ac	ENCFF580JIQ	https://www.encodeproject.org/files/ENCFF580JIQ/@@download/ENCFF580JIQ.bam	bam	3716216932	1	ENCSR458RRZ	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-19T18:02:27.637799+00:00	true	data/E066_Adult_Liver/H3K27ac/ENCFF580JIQ.bam	unfiltered alignments	GRCh38
E066_Adult_Liver	ATAC	ENCFF974NEA	https://www.encodeproject.org/files/ENCFF974NEA/@@download/ENCFF974NEA.bam	bam	37441140977	1	ENCSR124NNL	ENCODE4	atac-seq-alignment-step-v-2-1	2021-02-24T03:56:04.761764+00:00	true	data/E066_Adult_Liver/ATAC/ENCFF974NEA.bam	unfiltered alignments	GRCh38
E066_Adult_Liver	HiC	NOT_FOUND			0						false			
E070_Brain_Germinal_Matrix	DNase	ENCFF594ZYT	https://www.encodeproject.org/files/ENCFF594ZYT/@@download/ENCFF594ZYT.bam	bam	10889032921	1	ENCSR049SVH	ENCODE4	dnase-alignment-step-v-1-0	2021-09-07T18:05:35.860179+00:00	true	data/E070_Brain_Germinal_Matrix/DNase/ENCFF594ZYT.bam	unfiltered alignments	GRCh38
E070_Brain_Germinal_Matrix	H3K27ac	NOT_FOUND			0						false			
E070_Brain_Germinal_Matrix	ATAC	NOT_FOUND			0						false			
E070_Brain_Germinal_Matrix	HiC	NOT_FOUND			0						false			
E071_Brain_Hippocampus	DNase	ENCFF594ZYT	https://www.encodeproject.org/files/ENCFF594ZYT/@@download/ENCFF594ZYT.bam	bam	10889032921	1	ENCSR049SVH	ENCODE4	dnase-alignment-step-v-1-0	2021-09-07T18:05:35.860179+00:00	true	data/E071_Brain_Hippocampus/DNase/ENCFF594ZYT.bam	unfiltered alignments	GRCh38
E071_Brain_Hippocampus	H3K27ac	NOT_FOUND			0						false			
E071_Brain_Hippocampus	ATAC	NOT_FOUND			0						false			
E071_Brain_Hippocampus	HiC	NOT_FOUND			0						false			
E079_Esophagus	DNase	ENCFF699UQU	https://www.encodeproject.org/files/ENCFF699UQU/@@download/ENCFF699UQU.bam	bam	15476706882	1	ENCSR783OCW	ENCODE4	dnase-alignment-step-v-1-0	2020-10-24T00:03:58.687622+00:00	true	data/E079_Esophagus/DNase/ENCFF699UQU.bam	unfiltered alignments	GRCh38
